Solution_Approach,Organization,Test,Logic,Process,Others,Average
0.421,0,0.4,0.0,0.286,0.273,0.23
0.5,0,0.545,0.45,0.444,0.381,0.387
0.444,0,0.4,0.533,0.471,0.32,0.361
0.533,0,0.471,0.55,0.6,0.286,0.407
0.343,0,0.471,0.5,0.4,0.444,0.36
0.478,0,0.556,0.634,0.286,0.286,0.373
0.564,0,0.421,0.583,0.0,0.133,0.284
0.556,0,0.706,0.643,0.353,0.345,0.434
0.467,0,0.222,0.583,0.286,0.296,0.309
0.4,0,0.421,0.488,0.421,0.41,0.357
0.311,0,0.211,0.615,0.421,0.385,0.324
0.593,0,0.632,0.655,0.2,0.24,0.387
0.424,0,0.429,0.558,0.375,0.273,0.343
0.353,0,0.615,0.667,0.25,0.571,0.409
0.556,0,0.8,0.431,0.273,0.37,0.405
0.415,0,0.727,0.762,0.444,0.5,0.475
0.439,0,0.4,0.412,0.4,0.174,0.304
0.5,0,0.286,0.0,0.267,0.194,0.208
0.458,0,0.571,0.583,0.8,0.235,0.441
0.174,0,0.217,0.667,0.5,0.143,0.284
0.5,0,0.214,0.541,0.286,0.4,0.323
0.387,0,0.182,0.577,0.429,0.381,0.326
0.48,0,0.625,0.667,0.462,0.231,0.411
0.629,0,0.714,0.691,0.545,0.467,0.508
0.385,0,0.308,0.435,0.316,0.316,0.293
0.4,0,0.556,0.536,0.6,0.231,0.387
0.5,0,0.769,0.519,0.571,0.3,0.443
0.471,0,0.286,0.474,0.316,0.182,0.288
0.4,0,0.667,0.596,0.222,0.333,0.37
1.0,0,0.296,0.552,0.333,0.296,0.413
0.377,0,0.7,0.455,0.182,0.381,0.349
0.667,0,0.316,0.571,0.0,0.368,0.32
0.429,0,0.533,0.449,0.4,0.32,0.355
0.431,0,0.556,0.4,0.353,0.214,0.326
0.453,0,0.533,0.56,0.364,0.385,0.382
0.438,0,0.667,0.52,0.2,0.111,0.323
0.56,0,0.182,0.471,0.286,0.353,0.309
0.538,0,0.316,0.611,0.235,0.387,0.348
0.435,0,0.571,0.576,0.235,0.333,0.358
0.516,0,0.4,0.5,0.4,0.421,0.373
0.4,0,0.3,0.458,0.444,0.467,0.345
0.609,0,0.5,0.431,0.462,0.3,0.384
0.412,0,0.444,0.489,0.222,0.455,0.337
0.438,0,0.833,0.5,0.5,0.261,0.422
0.407,0,0.286,0.769,0.462,0.414,0.39
0.528,0,0.857,0.545,0.615,0.154,0.45
0.4,0,0.526,0.424,0.133,0.435,0.32
0.4,0,0.375,0.623,0.333,0.444,0.363
0.381,0,0.286,0.588,0.667,0.5,0.404
0.537,0,0.353,0.615,0.167,0.364,0.339
0.421,0,0.615,0.538,0.4,0.424,0.4
0.444,0,0.444,0.429,0.25,0.353,0.32
0.41,0,0.353,0.583,0.421,0.5,0.378
0.431,0,0.421,0.25,0.462,0.385,0.325
0.6,0,0.667,0.511,0.154,0.261,0.366
0.316,0,0.471,0.511,0.4,0.588,0.381
0.7,0,0.833,0.667,0.444,0.4,0.507
0.528,0,0.556,0.578,0.615,0.25,0.421
0.435,0,0.4,0.737,0.286,0.222,0.347
0.545,0,0.533,0.5,0.444,0.4,0.404
0.474,0,0.444,0.432,0.3,0.364,0.336
0.304,0,0.333,0.75,0.4,0.303,0.348
0.408,0,0.421,0.571,0.462,0.385,0.374
0.6,0,0.32,0.538,0.545,0.48,0.414
0.4,0,0.462,0.519,0.6,0.421,0.4
0.533,0,0.667,0.615,0.375,0.25,0.407
0.571,0,0.556,0.48,0.667,0.222,0.416
0.286,0,0.471,0.61,0.0,0.378,0.291
0.581,0,0.522,0.529,0.2,0.312,0.357
0.533,0,0.353,0.481,0.533,0.296,0.366
0.48,0,0.8,0.433,0.421,0.545,0.446
0.381,0,0.5,0.436,0.333,0.4,0.342
0.481,0,0.48,0.632,0.545,0.417,0.426
0.5,0,0.5,0.542,0.182,0.341,0.344
0.39,0,0.625,0.553,0.6,0.421,0.432
0.727,0,0.5,0.528,0.533,0.485,0.462
0.32,0,0.571,0.471,0.222,0.308,0.315
0.4,0,0.556,0.455,0.25,0.333,0.332
0.408,0,0.667,0.571,0.421,0.333,0.4
0.478,0,0.167,0.667,0.25,0.261,0.304
0.486,0,0.25,0.426,0.5,0.571,0.372
0.514,0,0.471,0.512,0.364,0.4,0.377
0.364,0,0.545,0.484,0.5,0.35,0.374
0.558,0,0.526,0.571,0.211,0.231,0.35
0.383,0,0.8,0.621,0.174,0.333,0.385
0.348,0,0.571,0.5,0.545,0.174,0.356
0.387,0,0.462,0.578,0.462,0.231,0.353
0.667,0,0.571,0.576,0.5,0.214,0.421
0.8,0,0.571,0.467,0.286,0.296,0.403
0.524,0,0.3,0.529,0.5,0.2,0.342
0.308,0,0.571,0.353,0.333,0.174,0.29
0.3,0,0.714,0.375,0.333,0.286,0.335
0.48,0,0.667,0.441,0.429,0.364,0.397
0.462,0,0.615,0.452,0.167,0.429,0.354
0.4,0,0.5,0.7,0.556,0.267,0.404
0.511,0,0.429,0.5,0.429,0.25,0.353
0.357,0,0.533,0.56,0.571,0.261,0.38
0.419,0,0.5,0.667,0.261,0.545,0.399
0.519,0,0.727,0.478,0.3,0.32,0.391
0.357,0,0.286,0.432,0.167,0.438,0.28
