Solution_Approach,Organization,Test,Logic,Process,Others,Average
0.457,0.745,0.8,0.69,0.25,0.571,0.586
0.408,0.733,0.667,0.8,0.667,0.571,0.641
0.64,0.757,0.615,0.565,0.333,0.615,0.588
0.486,0.757,0.6,0.581,0.889,0.429,0.624
0.486,0.652,0.667,0.65,0.75,1.0,0.701
0.444,0.667,0.588,0.545,0.5,0.4,0.524
0.593,0.618,0.571,0.7,0.286,0.667,0.572
0.36,0.71,0.8,0.556,0.0,0.667,0.516
0.556,0.667,0.6,0.542,0.667,0.421,0.576
0.444,0.811,0.615,0.688,0.571,0.308,0.573
0.474,0.595,0.286,0.756,0.5,0.4,0.502
0.462,0.76,0.889,0.622,0.8,0.5,0.672
0.667,0.581,1.0,0.484,0.667,0.0,0.566
0.465,0.706,0.667,0.651,0.667,0.5,0.609
0.696,0.667,0.727,0.48,1.0,0.667,0.706
0.359,0.75,0.545,0.733,0.667,0.462,0.586
0.4,0.71,0.889,0.537,0.333,0.545,0.569
0.327,0.8,0.5,0.667,0.0,0.5,0.466
0.5,0.627,0.545,0.684,0.333,0.667,0.559
0.538,0.667,0.625,0.533,0.333,1.0,0.616
0.429,0.683,0.5,0.537,0.667,0.444,0.543
0.514,0.64,0.727,0.56,0.333,0.333,0.518
0.615,0.619,0.909,0.647,0.75,0.286,0.638
0.423,0.727,0.857,0.643,0.571,1.0,0.703
0.643,0.649,0.571,0.652,0.5,0.462,0.58
0.476,0.538,0.923,0.698,0.333,0.571,0.59
0.286,0.645,0.625,0.848,0.571,0.4,0.562
0.457,0.651,0.75,0.486,0.667,0.5,0.585
0.667,0.656,0.833,0.8,0.5,0.667,0.687
0.45,0.765,0.667,0.558,0.667,0.75,0.643
0.421,0.435,0.615,0.615,0.5,0.5,0.514
0.667,0.703,0.6,0.566,0.75,0.545,0.638
0.357,0.651,0.6,0.698,1.0,0.727,0.672
0.4,0.513,0.727,0.645,1.0,0.571,0.643
0.556,0.78,0.667,0.526,0.0,0.444,0.496
0.529,0.711,0.533,0.647,0.667,0.667,0.626
0.457,0.654,0.667,0.629,0.0,0.0,0.401
0.486,0.733,0.909,0.634,0.4,0.308,0.578
0.333,0.69,0.833,0.571,0.0,0.444,0.478
0.438,0.696,0.8,0.811,0.0,0.533,0.546
0.37,0.629,0.667,0.649,0.0,0.353,0.445
0.435,0.683,0.625,0.6,0.5,0.364,0.534
0.476,0.737,0.571,0.727,0.571,0.429,0.585
0.4,0.636,0.4,0.75,0.667,0.435,0.548
0.533,0.646,0.833,0.875,0.6,0.727,0.702
0.556,0.698,0.5,0.615,0.667,0.429,0.577
0.5,0.727,0.4,0.538,0.571,0.5,0.539
0.32,0.667,0.889,0.667,0.667,0.333,0.59
0.533,0.619,0.545,0.611,0.333,0.6,0.54
0.611,0.621,0.857,0.5,0.5,0.667,0.626
0.303,0.741,0.667,0.632,0.4,0.286,0.505
0.514,0.857,0.714,0.667,0.8,0.571,0.687
0.519,0.811,0.769,0.549,0.8,0.8,0.708
0.516,0.708,0.571,0.611,0.333,0.667,0.568
0.7,0.571,0.625,0.489,0.0,0.4,0.464
0.421,0.762,0.667,0.667,0.571,0.0,0.515
0.56,0.667,0.909,0.735,0.8,0.25,0.654
0.5,0.561,0.714,0.696,0.8,0.667,0.656
0.615,0.714,0.889,0.579,0.5,0.4,0.616
0.359,0.538,0.667,0.743,0.667,0.533,0.584
0.408,0.5,0.667,0.714,1.0,0.333,0.604
0.455,0.649,1.0,0.688,0.571,0.667,0.672
0.571,0.745,0.8,0.76,0.4,0.545,0.637
0.364,0.678,0.727,0.769,0.75,0.667,0.659
0.524,0.647,0.75,0.688,0.571,0.167,0.558
0.474,0.632,0.8,0.591,0.667,0.0,0.527
0.629,0.75,0.667,0.667,0.667,0.364,0.624
0.562,0.71,0.588,0.636,0.0,0.462,0.493
0.526,0.683,0.667,0.618,0.4,0.0,0.482
0.9,0.578,0.727,0.381,0.5,0.8,0.648
0.485,0.778,0.667,0.667,0.571,0.545,0.619
0.419,0.733,0.571,0.756,0.4,0.286,0.528
0.258,0.638,0.727,0.757,0.0,0.5,0.48
0.364,0.714,0.7,0.636,0.0,0.444,0.476
0.645,0.642,0.857,0.585,0.571,1.0,0.717
0.562,0.743,0.857,0.52,1.0,0.571,0.709
0.372,0.683,1.0,0.737,0.8,0.333,0.654
0.455,0.711,0.333,0.526,0.5,0.308,0.472
0.595,0.55,0.75,0.588,0.333,0.25,0.511
0.5,0.759,0.4,0.556,0.8,0.462,0.58
0.421,0.7,0.769,0.5,0.857,0.667,0.652
0.5,0.579,0.769,0.421,0.8,0.25,0.553
0.235,0.667,0.8,0.55,0.5,0.5,0.542
0.429,0.634,0.727,0.744,0.8,0.2,0.589
0.435,0.679,0.714,0.727,0.0,0.714,0.545
0.6,0.689,0.5,0.8,0.444,0.4,0.572
0.529,0.69,0.571,0.571,1.0,0.5,0.644
0.429,0.567,0.75,0.857,0.667,0.286,0.593
0.485,0.743,0.75,0.622,0.0,0.471,0.512
0.5,0.667,0.667,0.545,0.667,0.2,0.541
0.7,0.667,0.667,0.449,0.667,0.429,0.596
0.412,0.593,0.727,0.654,0.667,0.5,0.592
0.64,0.6,0.75,0.578,1.0,0.4,0.661
0.5,0.744,0.667,0.588,0.5,0.8,0.633
0.545,0.75,0.727,0.596,0.667,0.667,0.659
0.483,0.486,0.8,0.571,1.0,0.25,0.598
0.385,0.595,0.667,0.558,0.75,0.333,0.548
0.552,0.629,0.8,0.667,0.286,0.4,0.556
0.294,0.727,0.75,0.545,0.0,0.545,0.477
0.571,0.638,0.625,0.842,0.5,0.667,0.64
