Solution_Approach,Organization,Test,Logic,Process,Others,Average
0.857,0.609,0.0,0.353,0.571,0.0,0.398
0.4,0.565,0.0,0.286,0.0,0.0,0.208
1.0,0.519,0.0,0.0,0.0,0.0,0.253
0.667,0.504,0.0,0.444,0.0,0.0,0.269
0.0,0.425,0.0,0.0,0.0,0.0,0.071
0.8,0.544,0.0,0.333,0.0,0.0,0.28
0.5,0.522,0.0,0.5,0.0,0.0,0.254
0.0,0.528,0.0,1.0,0.5,0.0,0.338
0.667,0.483,0.0,0.5,0.0,0.0,0.275
0.857,0.576,0.0,0.667,0.0,0.0,0.35
0.333,0.539,0.0,1.0,0.0,0.0,0.312
1.0,0.5,0.0,0.0,0.0,0.0,0.25
0.0,0.489,0.0,0.0,1.0,0.0,0.248
1.0,0.512,0.0,0.5,0.0,0.0,0.335
0.667,0.512,0.0,0.4,0.0,0.0,0.263
0.0,0.492,0.0,0.0,0.0,0.0,0.082
0.0,0.5,0.0,0.333,0.0,0.25,0.18
0.0,0.529,0.0,0.333,0.5,0.0,0.227
0.667,0.556,0.0,0.48,0.0,0.0,0.284
0.8,0.544,0.0,0.667,0.0,0.0,0.335
0.0,0.531,0.0,0.75,0.0,0.0,0.214
0.667,0.508,0.0,0.0,1.0,0.0,0.362
0.8,0.481,0.0,0.435,0.0,0.0,0.286
0.4,0.448,0.0,0.857,0.0,0.0,0.284
0.8,0.529,0.0,0.727,0.0,0.0,0.343
0.0,0.496,0.0,1.0,0.0,0.5,0.333
0.8,0.429,0.0,0.5,0.0,0.0,0.288
0.667,0.595,0.0,0.571,0.0,0.286,0.353
1.0,0.534,0.0,0.0,0.8,0.0,0.389
0.8,0.548,0.0,0.0,0.0,0.0,0.225
0.5,0.44,0.0,0.5,0.0,0.0,0.24
0.545,0.576,0.0,0.8,0.0,0.0,0.32
1.0,0.516,0.0,0.5,0.0,0.0,0.336
0.857,0.544,0.0,0.0,0.0,0.0,0.234
0.0,0.462,0.0,0.182,0.0,0.0,0.107
0.286,0.487,0.0,0.0,0.0,0.0,0.129
0.467,0.577,0.0,0.4,0.0,0.0,0.241
1.0,0.519,0.0,0.392,0.0,0.0,0.318
0.667,0.455,0.0,0.0,0.0,0.0,0.187
0.667,0.496,0.0,0.769,0.0,0.0,0.322
0.0,0.5,0.0,0.462,0.0,0.0,0.16
1.0,0.487,0.0,0.444,0.0,0.0,0.322
0.0,0.46,0.0,0.0,0.0,0.0,0.077
0.667,0.517,0.0,0.571,0.0,0.0,0.293
0.0,0.592,0.0,0.444,0.0,0.182,0.203
0.0,0.522,0.0,0.333,0.0,0.2,0.176
0.444,0.437,0.0,0.0,0.0,0.0,0.147
0.0,0.525,0.0,0.667,0.0,0.0,0.199
1.0,0.475,1.0,0.333,0.0,0.0,0.468
0.0,0.557,0.0,0.615,0.0,0.0,0.195
1.0,0.439,0.0,0.5,0.0,0.0,0.323
0.645,0.646,0.0,0.462,0.0,0.0,0.292
0.667,0.476,0.0,0.0,0.0,0.0,0.19
0.0,0.524,0.667,0.222,0.0,0.5,0.319
0.667,0.593,0.0,0.727,0.0,0.0,0.331
0.8,0.492,0.0,0.75,0.0,0.0,0.34
0.857,0.433,0.0,0.0,0.0,0.0,0.215
0.0,0.457,0.0,0.0,0.0,0.0,0.076
0.667,0.528,0.0,0.667,0.0,0.0,0.31
1.0,0.504,0.0,0.0,0.0,0.0,0.251
0.0,0.523,0.0,0.211,0.0,0.0,0.122
0.462,0.466,1.0,0.308,0.0,0.0,0.373
0.667,0.548,0.0,0.769,0.0,0.0,0.331
0.444,0.475,0.0,0.0,0.0,0.0,0.153
0.333,0.492,0.0,0.0,0.0,0.0,0.137
0.375,0.513,0.0,0.0,0.0,0.0,0.148
0.727,0.552,0.769,0.571,0.0,0.0,0.436
0.25,0.479,0.0,0.0,0.0,0.0,0.122
0.8,0.535,0.0,0.0,0.0,0.0,0.222
1.0,0.504,0.0,0.286,0.0,0.0,0.298
0.571,0.517,0.0,0.0,0.0,0.0,0.181
1.0,0.525,0.0,0.429,0.0,0.0,0.326
0.8,0.531,0.0,0.526,0.0,0.0,0.31
0.0,0.543,0.0,0.5,0.0,0.0,0.174
0.667,0.454,0.0,0.0,0.0,0.0,0.187
0.769,0.509,0.0,0.6,0.0,0.0,0.313
0.0,0.479,0.0,0.4,0.0,0.0,0.146
0.889,0.547,0.0,0.667,0.0,0.0,0.35
0.0,0.463,0.0,0.4,0.0,0.0,0.144
0.75,0.561,0.0,0.308,0.0,0.667,0.381
0.8,0.513,0.0,0.615,0.0,0.0,0.321
0.8,0.458,0.0,1.0,0.0,0.0,0.376
0.667,0.519,0.0,0.0,0.0,0.0,0.198
0.8,0.521,0.667,0.667,0.0,0.0,0.443
0.615,0.574,0.0,0.526,0.0,0.0,0.286
1.0,0.496,0.0,0.0,0.0,0.4,0.316
0.571,0.469,0.0,0.48,0.0,0.0,0.253
0.667,0.504,0.0,1.0,0.0,1.0,0.529
0.56,0.615,0.0,0.571,0.0,0.0,0.291
0.667,0.566,1.0,0.545,0.0,0.0,0.463
