Solution_Approach,Organization,Test,Logic,Process,Others,Average
0.48,0.69,0.571,0.571,0.444,0.286,0.507
0.611,0.773,0.75,0.533,0.667,0.286,0.603
0.486,0.718,0.667,0.667,0.75,0.333,0.604
0.519,0.769,0.857,0.706,0.857,0.286,0.666
0.643,0.6,0.727,0.682,0.667,0.667,0.664
0.448,0.833,0.727,0.609,0.333,0.286,0.539
0.5,0.667,0.462,0.564,0.0,0.333,0.421
0.593,0.814,0.923,0.773,0.6,0.333,0.673
0.558,0.634,0.4,0.737,0.444,0.5,0.546
0.476,0.706,0.727,0.588,0.0,0.667,0.527
0.457,0.634,0.571,0.526,0.667,0.8,0.609
0.5,0.615,0.833,0.625,0.333,0.375,0.547
0.595,0.667,0.667,0.591,0.5,0.25,0.545
0.541,0.712,0.8,0.87,0.667,1.0,0.765
0.485,0.681,0.909,0.591,0.4,0.8,0.644
0.4,0.565,1.0,0.611,0.667,0.25,0.582
0.516,0.667,0.545,0.435,0.667,0.333,0.527
0.686,0.8,0.667,0.757,0.444,0.471,0.638
0.578,0.765,0.75,0.489,0.0,0.4,0.497
0.471,0.757,0.667,0.636,1.0,0.4,0.655
0.5,0.8,0.462,0.538,0.0,0.5,0.467
0.564,0.632,0.333,0.727,0.667,0.615,0.59
0.5,0.683,0.667,0.759,0.667,0.462,0.623
0.5,0.609,0.667,0.722,0.0,0.545,0.507
0.537,0.737,0.75,0.596,0.667,0.667,0.659
0.552,0.688,1.0,0.774,0.75,0.2,0.661
0.579,0.571,1.0,0.64,0.8,0.4,0.665
0.48,0.714,0.4,0.436,0.444,0.364,0.473
0.429,0.703,0.857,0.769,0.571,0.6,0.655
0.4,0.667,0.545,0.684,0.571,0.462,0.555
0.5,0.711,0.727,0.703,0.5,0.6,0.624
0.4,0.723,0.5,0.684,0.0,0.444,0.458
0.516,0.712,0.75,0.611,0.8,0.667,0.676
0.593,0.764,0.727,0.531,0.667,0.0,0.547
0.5,0.667,0.667,0.439,0.0,0.5,0.462
0.432,0.649,0.8,0.577,0.0,0.0,0.41
0.457,0.667,0.286,0.585,0.333,0.364,0.449
0.579,0.778,0.5,0.583,0.364,0.667,0.578
0.32,0.625,0.75,0.594,0.667,0.0,0.493
0.571,0.667,0.8,0.566,0.75,0.667,0.67
0.529,0.744,0.462,0.652,0.667,0.571,0.604
0.455,0.741,0.75,0.49,1.0,0.571,0.668
0.429,0.565,0.667,0.638,0.8,0.4,0.583
0.636,0.7,0.8,0.6,0.857,0.133,0.621
0.449,0.732,0.545,0.667,0.5,0.2,0.516
0.595,0.769,0.857,0.723,0.8,0.5,0.707
0.298,0.553,0.667,0.571,0.286,0.5,0.479
0.4,0.7,0.4,0.653,0.727,0.667,0.591
0.5,0.651,0.667,0.615,0.667,0.462,0.594
0.688,0.72,0.6,0.636,0.333,0.0,0.496
0.6,0.698,1.0,0.524,0.667,0.667,0.693
0.444,0.75,1.0,0.519,0.286,0.667,0.611
0.486,0.778,0.545,0.596,0.6,0.0,0.501
0.686,0.55,0.5,0.378,0.5,0.286,0.483
0.545,0.745,0.714,0.571,0.0,0.4,0.496
0.333,0.737,1.0,0.68,0.25,0.667,0.611
0.471,0.462,0.889,0.727,0.667,0.5,0.619
0.417,0.564,0.615,0.667,1.0,0.4,0.61
0.5,0.8,0.667,0.652,0.333,0.429,0.564
0.357,0.667,0.714,0.75,0.0,0.545,0.505
0.444,0.629,0.8,0.439,0.333,0.8,0.574
0.529,0.703,0.571,0.522,0.667,0.462,0.576
0.34,0.75,0.889,0.7,0.667,0.5,0.641
0.476,0.727,0.533,0.632,1.0,0.533,0.65
0.471,0.704,0.6,0.683,1.0,0.4,0.643
0.407,0.69,0.727,0.645,0.571,0.571,0.602
0.5,0.643,0.727,0.449,0.727,0.222,0.545
0.207,0.634,0.571,0.756,0.0,0.444,0.435
0.48,0.732,0.727,0.567,0.0,0.333,0.473
0.692,0.694,0.6,0.642,0.667,0.667,0.66
0.72,0.694,0.8,0.553,0.545,0.923,0.706
0.629,0.652,0.889,0.537,0.5,0.667,0.646
0.595,0.698,0.769,0.513,0.667,0.571,0.636
0.621,0.72,0.667,0.619,0.571,0.4,0.6
0.449,0.615,0.889,0.571,1.0,0.4,0.654
0.526,0.632,0.714,0.541,0.8,0.727,0.657
0.514,0.593,0.889,0.556,0.0,0.429,0.497
0.444,0.71,0.75,0.533,0.667,0.4,0.584
0.432,0.706,0.571,0.636,0.571,0.364,0.547
0.558,0.833,0.333,0.541,0.4,0.4,0.511
0.564,0.714,0.857,0.545,0.5,0.4,0.597
0.552,0.55,0.727,0.609,0.4,0.444,0.547
0.242,0.684,0.8,0.565,0.0,0.286,0.43
0.611,0.714,0.727,0.733,0.444,0.286,0.586
0.474,0.846,1.0,0.722,0.571,0.462,0.679
0.606,0.744,0.889,0.667,0.8,0.133,0.64
0.345,0.722,0.8,0.681,0.8,0.375,0.62
0.562,0.611,0.727,0.667,0.4,0.364,0.555
0.333,0.769,0.833,0.5,0.571,0.364,0.562
0.556,0.769,0.667,0.52,0.571,0.667,0.625
0.387,0.839,0.889,0.5,0.286,0.444,0.558
0.333,0.634,1.0,0.604,0.5,0.0,0.512
0.667,0.552,0.667,0.516,0.667,0.6,0.612
0.421,0.5,0.857,0.5,0.4,0.4,0.513
0.514,0.75,0.471,0.718,0.667,0.25,0.562
0.621,0.769,0.6,0.698,0.571,0.222,0.58
0.244,0.737,0.667,0.621,0.8,0.25,0.553
0.455,0.6,0.5,0.634,0.364,0.667,0.537
0.478,0.545,1.0,0.605,0.5,0.8,0.655
0.4,0.75,0.667,0.533,0.5,0.667,0.586
